"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030239","myofibril assembly",74,-0.874055014246362,-2.80042467106789,1e-10,1.06677966101695e-08,8.52453166815344e-09,1131,"tags=54%, list=4%, signal=52%","25802/5239/5629/4629/91807/1073/825/84033/27063/7138/7111/4608/70/127294/2318/29765/79933/4624/56203/8736/844/9172/4604/7273/58529/8557/51778/442721/11155/88/859/7140/4703/10324/84665/4606/58/4892/8048/4633"
"GO:0055002","striated muscle cell development",168,-0.769507498572227,-2.7676963588178,1e-10,1.06677966101695e-08,8.52453166815344e-09,1131,"tags=34%, list=4%, signal=33%","25802/5997/5239/3479/5629/4629/91807/858/9472/1073/825/57538/84033/27063/148/246329/7138/4656/51676/7111/4608/70/127294/221476/2318/29765/79933/6261/84700/4624/56203/8736/4654/844/9172/4604/7273/58529/8557/51778/442721/11155/88/859/7140/4703/10324/84665/89/4606/58/4892/4618/131377/779/8048/4633"
"GO:0006941","striated muscle contraction",202,-0.74515972998795,-2.74106353144702,1e-10,1.06677966101695e-08,8.52453166815344e-09,1628,"tags=41%, list=6%, signal=39%","92241/6263/56704/6324/8913/1193/4621/28954/1134/2946/5608/3741/6335/23336/781/6332/6769/342667/11280/59272/10060/6327/57644/5997/2934/6326/6330/5350/126306/274/79041/6331/287/283383/3753/6328/1756/55800/857/148/246329/7138/4626/57158/6547/29119/845/3270/6329/4608/70/1146/4151/6261/4624/390594/56203/477/85366/4842/844/1144/4634/7273/7135/8557/859/7136/23676/487/7140/10324/7125/761/89/7134/10345/100507537/779/118461/8048/4625/4633"
"GO:0055001","muscle cell development",196,-0.744643164990833,-2.72882100783141,1e-10,1.06677966101695e-08,8.52453166815344e-09,1131,"tags=32%, list=4%, signal=31%","25802/5997/274/5239/3479/5629/287/4629/91807/858/9472/1756/1073/825/57538/84033/27063/148/246329/7138/4656/51676/137868/7111/4608/70/127294/221476/2318/29765/79933/6261/84700/284612/4624/56203/8736/4654/844/9172/4604/7273/58529/8557/51778/442721/11155/88/859/7140/4703/10324/84665/89/4606/58/4892/4618/131377/779/8048/4633"
"GO:0010927","cellular component assembly involved in morphogenesis",133,-0.781718397554029,-2.71750799209304,1e-10,1.06677966101695e-08,8.52453166815344e-09,1131,"tags=32%, list=4%, signal=30%","25802/5350/5239/5629/287/4629/91807/1073/825/84033/27063/7138/7111/4608/70/127294/2318/29765/79933/4624/56203/8736/844/9172/4604/7273/58529/8557/51778/442721/11155/88/859/7140/4703/10324/84665/4606/58/4892/8048/4633"
"GO:0032989","cellular anatomical entity morphogenesis",133,-0.781718397554029,-2.71750799209304,1e-10,1.06677966101695e-08,8.52453166815344e-09,1131,"tags=32%, list=4%, signal=30%","25802/5350/5239/5629/287/4629/91807/1073/825/84033/27063/7138/7111/4608/70/127294/2318/29765/79933/4624/56203/8736/844/9172/4604/7273/58529/8557/51778/442721/11155/88/859/7140/4703/10324/84665/4606/58/4892/8048/4633"
"GO:0045214","sarcomere organization",49,-0.894064038503318,-2.67075546994618,1e-10,1.06677966101695e-08,8.52453166815344e-09,869,"tags=57%, list=3%, signal=55%","5629/91807/1073/825/84033/27063/7138/4608/127294/2318/79933/4624/8736/844/9172/4604/7273/58529/8557/51778/442721/11155/88/859/7140/84665/4606/8048"
"GO:0006936","muscle contraction",361,-0.688316923700898,-2.66975183147497,1e-10,1.06677966101695e-08,8.52453166815344e-09,2904,"tags=37%, list=10%, signal=34%","3764/1906/92241/6263/56704/5733/6324/782/8913/1193/150/4621/28954/1134/8082/2946/1812/5608/4638/786/3741/6335/30820/23336/9312/781/80852/2668/4660/6332/6769/342667/1813/11280/59272/3768/10060/6327/25802/57644/3356/5997/2934/3736/6326/1910/7169/6330/5350/126306/274/79041/3815/6331/287/4629/283383/3753/93649/6328/1756/6869/1264/55800/6442/154/406937/857/10316/148/246329/9127/1180/7138/4626/57158/1908/6547/29119/1410/845/3270/6329/7111/4608/70/1146/5348/5021/29765/4151/30819/1160/6261/4624/390594/4887/26287/56203/477/85366/84676/4842/80763/844/9172/1144/4634/7273/7135/8557/442721/4619/859/7136/23676/487/7140/10324/1674/7125/761/89/7134/9499/29895/58/10345/100507537/779/118461/8048/4625/4620/4633"
"GO:0003012","muscle system process",460,-0.673862348390036,-2.66075635543044,1e-10,1.06677966101695e-08,8.52453166815344e-09,2185,"tags=31%, list=8%, signal=29%","2946/5465/1812/5608/4638/786/3741/6335/7373/4883/30820/2308/23336/9312/781/80852/2668/4660/6332/6769/342667/1813/11280/59272/3768/10060/6327/25802/57644/3356/5997/2934/3736/6326/1910/7169/2770/6330/5350/9314/126306/274/79041/3815/3479/6331/287/4629/9472/283383/3753/93649/6328/1756/6869/1264/55800/32/6442/154/8013/406937/857/10316/5468/148/246329/9127/1180/7138/493829/4656/4626/57158/1908/51676/6547/28999/29119/1410/845/3270/6329/7111/4608/70/1146/5348/5021/221476/53632/29765/4151/30819/1160/6261/4624/390594/4887/26287/90523/56203/477/4654/85366/3952/84676/4842/80763/4653/844/9172/1144/4634/7273/58529/7135/8557/51778/442721/4619/859/7136/23676/487/7140/10324/1674/7125/761/89/6588/7134/9499/29895/58/10345/100507537/779/118461/8048/4625/4620/4633"
"GO:0006334","nucleosome assembly",105,0.701315497826915,2.58944318753493,1e-10,1.06677966101695e-08,8.52453166815344e-09,3403,"tags=50%, list=12%, signal=44%","8357/8356/8354/8348/8358/8345/8370/55723/8340/8344/8343/8352/8360/8363/8365/8367/3010/8355/8339/8342/8347/8968/8294/3006/8362/3007/8970/554313/3018/8349/8346/29028/3014/4171/653604/8353/64754/121504/126961/8341/333932/3148/3008/3020/8366/9555/23234/8290/10036/8208/8364/3009"
"GO:0003009","skeletal muscle contraction",56,-0.840539611365261,-2.55950372074621,1e-10,1.06677966101695e-08,8.52453166815344e-09,2431,"tags=59%, list=9%, signal=54%","4621/28954/1134/2946/23336/6769/342667/126306/283383/1756/246329/7138/4626/6547/6329/1146/4151/390594/844/1144/7273/7135/8557/859/7136/487/7140/7125/761/89/7134/100507537/4625"
"GO:0034728","nucleosome organization",124,0.679866304195764,2.54887068433894,1e-10,1.06677966101695e-08,8.52453166815344e-09,3512,"tags=46%, list=12%, signal=40%","8357/8356/8354/8348/8358/8345/8370/55723/8340/8344/8343/8352/8360/8363/8365/8367/3010/8355/8339/8342/8347/8968/8294/3006/8362/3007/92815/8970/554313/3018/8349/8346/4778/29028/3014/4171/653604/8353/3159/64754/121504/126961/8341/333932/3148/3008/3020/8366/9555/6603/23234/8290/10036/8208/8364/3009/6597"
"GO:0007517","muscle organ development",366,-0.653700571701595,-2.53760957025575,1e-10,1.06677966101695e-08,8.52453166815344e-09,2366,"tags=30%, list=8%, signal=28%","1134/64091/1310/84159/130827/56603/1827/3908/6300/4638/2253/6939/8531/6445/1271/11149/1839/2275/341405/4208/23764/6840/92737/10290/93986/9099/1959/8110/389125/11280/3084/1960/1901/150921/3131/10060/26548/3164/1958/650/467/3479/5629/6943/6285/7049/2047/858/60529/93649/1756/1073/2353/10660/4223/825/101929726/6442/406937/857/27063/64208/246329/493829/4656/57158/3679/339855/51676/1410/70/347273/196541/219537/6261/4624/26287/2273/56203/8736/4654/85366/844/9172/1144/4634/7273/58529/150572/7135/6123/8557/146862/51778/859/4703/10324/1674/89/7134/245806/29895/58/4618/131377/779/8048/4625/4633/129446"
"GO:0060048","cardiac muscle contraction",150,-0.71477604015248,-2.53751545391409,1e-10,1.06677966101695e-08,8.52453166815344e-09,1544,"tags=31%, list=5%, signal=29%","781/6332/11280/59272/10060/6327/57644/5997/2934/6326/6330/5350/274/79041/6331/287/3753/6328/1756/55800/857/148/57158/29119/845/3270/6329/70/4624/477/85366/4842/4634/7273/7135/8557/859/7136/487/7134/10345/100507537/118461/8048/4625/4633"
"GO:0006942","regulation of striated muscle contraction",103,-0.751826788224949,-2.51334814575878,1e-10,1.06677966101695e-08,8.52453166815344e-09,1375,"tags=32%, list=5%, signal=31%","59272/57644/5997/5350/274/79041/6331/287/283383/1756/857/148/57158/6547/29119/845/3270/6329/4608/390594/477/4842/844/4634/7135/859/487/7140/89/10345/100507537/4625/4633"
"GO:0031032","actomyosin structure organization",210,-0.682131039302604,-2.51264604761855,1e-10,1.06677966101695e-08,8.52453166815344e-09,3824,"tags=39%, list=13%, signal=34%","1902/5587/8837/54566/9647/5156/7168/8829/1465/90102/221061/5295/29767/395/5345/9270/1906/2037/28984/113622/4621/80206/9839/22998/10979/5734/10411/22899/10395/4233/11346/10391/1901/6863/25802/6422/5239/5629/4629/91807/6869/1264/1073/825/84033/23671/27063/7138/10580/7111/4608/70/127294/2318/29765/79933/84700/4624/56203/8736/4653/844/9172/4604/7273/58529/8557/51778/442721/11155/88/859/7140/4703/10324/84665/4606/58/4892/8048/4633"
"GO:0071459","protein localization to chromosome, centromeric region",40,0.809514939985051,2.50900933410097,1e-10,1.06677966101695e-08,8.52453166815344e-09,3340,"tags=68%, list=12%, signal=60%","8370/9212/983/1058/701/8360/8363/8365/8367/57082/7272/8335/8294/8362/83903/8970/554313/121504/3012/9184/8366/27085/55055/9735/55920/54069/8364"
"GO:0065004","protein-DNA complex assembly",218,0.62026304423455,2.50481117775637,1e-10,1.06677966101695e-08,8.52453166815344e-09,3512,"tags=34%, list=12%, signal=30%","8357/8356/8354/8348/55355/8358/9787/8345/1063/8370/55723/8340/8344/8343/8352/1058/8360/8363/8365/8318/8367/3010/81620/8355/5888/8339/8342/8347/1062/8968/8294/3006/8362/3007/8970/554313/11339/3018/8349/8346/2491/29028/3014/4171/64105/653604/8353/2099/387103/64754/121504/401541/126961/8341/333932/201254/3148/3008/55839/3020/8366/9862/9735/79172/9555/5889/23234/8290/64946/10036/8208/54069/8364/3009/6597"
"GO:0043500","muscle adaptation",113,-0.730857925767399,-2.49381006133198,1e-10,1.06677966101695e-08,8.52453166815344e-09,1098,"tags=28%, list=4%, signal=27%","5997/2934/9314/3479/6331/9472/32/8013/406937/5468/148/7138/4656/51676/28999/221476/53632/4624/90523/4654/84676/4653/844/58529/7135/8557/51778/859/89/7134/779/4625"
"GO:0071824","protein-DNA complex organization",237,0.60976298709439,2.49269406665929,1e-10,1.06677966101695e-08,8.52453166815344e-09,3512,"tags=33%, list=12%, signal=29%","8357/8356/8354/8348/55355/8358/9787/8345/1063/8370/55723/8340/8344/8343/8352/1058/8360/8363/8365/8318/8367/3010/81620/8355/5888/8339/8342/8347/1062/8968/8294/3006/8362/3007/92815/8970/554313/11339/3018/8349/8346/2491/4778/29028/3014/4171/64105/653604/8353/2099/387103/3159/64754/121504/401541/126961/8341/333932/201254/3148/3008/55839/3020/8366/9862/9735/79172/9555/6603/5889/23234/8290/64946/10036/8208/54069/8364/3009/6597"
"GO:0006937","regulation of muscle contraction",174,-0.687614480429847,-2.48489400633037,1e-10,1.06677966101695e-08,8.52453166815344e-09,1109,"tags=29%, list=4%, signal=28%","9312/4660/59272/57644/5997/3736/5350/274/79041/3815/6331/287/283383/93649/1756/6869/1264/154/406937/857/148/7138/57158/1908/6547/29119/845/3270/6329/4608/390594/4887/477/85366/4842/80763/844/4634/7135/859/487/7140/7125/89/7134/10345/100507537/779/4625/4633"
"GO:0051146","striated muscle cell differentiation",308,-0.649954539761874,-2.4725650926476,1e-10,1.06677966101695e-08,8.52453166815344e-09,2462,"tags=29%, list=9%, signal=27%","92304/407007/113622/4621/80206/64091/552/5465/130827/56603/1827/115701/30846/11149/4856/7373/405754/284358/4208/577/92737/3084/25802/5997/650/5239/3479/5629/84814/4629/91807/858/9472/93649/1073/11096/825/57538/101929726/84033/27063/64208/148/246329/7138/493829/4656/51676/7111/4608/70/127294/221476/2318/29765/79933/6261/84700/4624/56203/8736/4654/4842/844/9172/4604/7273/58529/150572/6123/8557/51778/442721/11155/88/859/7140/4703/10324/84665/89/4606/58/4892/4618/131377/779/118461/8048/4633"
"GO:0014888","striated muscle adaptation",50,-0.822931879775847,-2.46967287633462,1e-10,1.06677966101695e-08,8.52453166815344e-09,619,"tags=40%, list=2%, signal=39%","2934/32/5468/7138/4656/51676/28999/4624/90523/4654/84676/4653/58529/7135/8557/51778/89/7134/779/4625"
