"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol","absLFC"
"ENSG00000163092.21",3.52637492401344,-16.2045828195085,0.998524678833826,6.25443740172527e-05,0.000268676962126339,"XIRP2",16.2045828195085
"ENSG00000111245.17",3.66813413449497,-14.5055576864362,0.321949978314114,5.08642416870755e-06,2.70935711245434e-05,"MYL2",14.5055576864362
"ENSG00000125414.19",15.7401270624728,-14.0850426318381,0.373839151391497,1.40548225214294e-06,8.26170354529155e-06,"MYH2",14.0850426318381
"ENSG00000092054.13",2.18457194903118,-13.8145622427252,0.530004297773705,6.80717001708653e-06,3.53767518125714e-05,"MYH7",13.8145622427252
"ENSG00000177354.12",1.06732325746655,-13.6901886339666,0.877705164729881,0.00206022569821075,0.00622999817785476,"C10orf71",13.6901886339666
"ENSG00000104879.5",7.33958720696346,-13.2037008184373,0.24822990915302,2.29460542851896e-07,1.56142871390852e-06,"CKM",13.2037008184373
"ENSG00000081248.11",1.99853852069083,-12.3990992283811,0.620588293107557,0.00167287667186627,0.00516320609503414,"CACNA1S",12.3990992283811
"ENSG00000157119.12",0.616108753586042,-11.7777995133309,0.585208309680385,0.00925109185552688,0.0232454837183394,"KLHL40",11.7777995133309
"ENSG00000213401.10",1.83134603515283,11.7294255289303,1.76923962884266,0.000435636542470995,0.00155182679855192,"MAGEA12",11.7294255289303
"ENSG00000196228.3",86.2386661127376,-11.4444994610473,1.27250015267459,1.28629841248667e-16,3.36872978907508e-15,"SULT1C3",11.4444994610473
"ENSG00000135222.6",57.7753054392075,-11.4278256199686,1.01791080807469,3.68831683906992e-17,1.03568147752697e-15,"CSN2",11.4278256199686
"ENSG00000111046.4",2.68523973517607,-11.2926941434366,0.620369704026562,4.89352468002544e-10,5.13217353703268e-09,"MYF6",11.2926941434366
"ENSG00000168333.14",1.54408610535294,-11.0948751462403,0.712574177874308,0.000133396114573054,0.000533638794795097,"PPDPFL",11.0948751462403
"ENSG00000163833.8",5.71316542387056,-10.6150105944713,0.509494443443319,4.61454631030959e-12,6.57041816796672e-11,"FBXO40",10.6150105944713
"ENSG00000164122.9",4.31408777312355,-10.4560498618981,0.569497577510043,1.05142703948397e-06,6.34428849382404e-06,"ASB5",10.4560498618981
"ENSG00000174429.4",4.55150234919934,-10.2030333140002,0.526015597364358,5.08720894497702e-07,3.25111300137429e-06,"ABRA",10.2030333140002
"ENSG00000184544.12",0.877211804579048,-10.1232701845759,0.700422226521775,0.00181456703272461,0.00555513180436047,"DHRS7C",10.1232701845759
"ENSG00000186439.14",278.857677073799,-9.95349530710522,0.522041912665418,7.8913231245976e-31,1.01974584745622e-28,"TRDN",9.95349530710522
"ENSG00000143632.14",111.026974993388,-9.91528892944382,0.404835593794387,0.00474545687863578,0.0129688643322733,"ACTA1",9.91528892944382
"ENSG00000086967.10",14.5480246105074,-9.78606208423826,0.402837795857875,0.0209048000667784,0.0468815531097405,"MYBPC2",9.78606208423826
"ENSG00000198930.13",1.86507882564225,9.7608717548585,1.16295780109544,8.58640802353511e-06,4.3591167329614e-05,"CSAG1",9.7608717548585
"ENSG00000180209.12",12.0267441212291,-9.75394406455286,0.234915881192535,0.000816625653239765,0.00273256577187998,"MYLPF",9.75394406455286
"ENSG00000170162.14",1.80635678334588,-9.74974291070453,0.669042495644933,1.12161454449677e-05,5.57176350101303e-05,"VGLL2",9.74974291070453
"ENSG00000120729.10",5.61332805019529,-9.72611574173432,0.243242888774385,0.0217103398920135,0.0484226987065155,"MYOT",9.72611574173432
"ENSG00000198788.9",83.1876418612548,9.69476464726326,0.771056261447983,2.78345653525401e-15,6.1361002542603e-14,"MUC2",9.69476464726326
"ENSG00000171209.3",269.479885182538,-9.68725462217597,0.94717042603375,1.8311464722918e-25,1.24454598646213e-23,"CSN3",9.68725462217597
"ENSG00000203858.3",156.43101125086,-9.64779388901031,1.14039562475755,4.25652252410006e-20,1.65393897959196e-18,"HSD3BP2",9.64779388901031
"ENSG00000165192.14",3.10805510497293,-9.58314794531578,0.595071749763143,4.87997948724267e-07,3.12917850110721e-06,"ASB11",9.58314794531578
"ENSG00000273540.4",0.73208643967607,-9.53160898401347,0.471424864218852,0.000299419602479918,0.00110684103357684,"AGBL1",9.53160898401347
"ENSG00000068976.14",282.285086686852,-9.40462516284292,0.316661346174638,4.95647290379513e-26,3.66685652641596e-24,"PYGM",9.40462516284292
"ENSG00000164879.7",624.429871501628,-9.3896765717743,0.451164035786329,1.75161067263767e-28,1.68652631529162e-26,"CA3",9.3896765717743
"ENSG00000101470.10",37.2102123107492,-9.18470214953499,0.274071011719997,2.71139536407677e-05,0.000125193295113296,"TNNC2",9.18470214953499
"ENSG00000101441.4",99.5464836888811,9.1837721776441,0.877235563153886,1.19049621055253e-21,5.47628256854166e-20,"CST4",9.1837721776441
"ENSG00000261776.1",24.3959452872242,9.1263571389398,1.34777181128453,1.26205884303334e-09,1.24132998472013e-08,"AC079414.2",9.1263571389398
"ENSG00000169271.3",1.2860647119601,-9.04182260578961,0.846475931074359,0.0105862208392876,0.0261060326083222,"HSPB3",9.04182260578961
"ENSG00000253802.2",54.801577264881,9.01407265333108,0.910554616313797,3.73151951830794e-14,7.07475930295411e-13,"SIRLNT",9.01407265333108
"ENSG00000175084.12",672.063576178273,-8.97985252708076,0.446143571988682,7.42196835770778e-24,4.18313636964408e-22,"DES",8.97985252708076
"ENSG00000235123.5",512.138670886929,8.93193910215038,0.846448866450289,2.51636421987571e-27,2.15835921427068e-25,"DSCAM-AS1",8.93193910215038
"ENSG00000287301.1",2.94817510442853,8.92782270872262,2.84984339702452,4.60735637716453e-08,3.51652201127902e-07,"AC068075.2",8.92782270872262
"ENSG00000187481.2",13.3804201763959,-8.90950648466821,1.76812063054088,3.15027225586501e-09,2.91394620436546e-08,"HSD3BP1",8.90950648466821
"ENSG00000130595.19",247.504588349761,-8.84674202510711,0.352977429836799,8.77819271650476e-26,6.29274676414549e-24,"TNNT3",8.84674202510711
"ENSG00000223626.1",2.67414370275791,-8.81663972067617,2.97483475517598,4.3567756242236e-07,2.82102478361629e-06,"LINC01044",8.81663972067617
"ENSG00000077009.13",3.19739137365945,-8.81202121667492,0.655083790048585,3.83518662988618e-05,0.000171576667314029,"NMRK2",8.81202121667492
"ENSG00000150361.12",1.76003288256282,8.75880854717833,1.3744597885045,0.0086121391254771,0.0218383212887453,"KLHL1",8.75880854717833
"ENSG00000124701.5",8.37179966953006,-8.74689238966013,0.230012928260005,0.00515516397011279,0.0139463853317203,"APOBEC2",8.74689238966013
"ENSG00000257046.5",14.395534272392,-8.62452961525383,1.72035242485942,2.64994921404937e-08,2.1026177524685e-07,"SLCO1B3-SLCO1B7",8.62452961525383
"ENSG00000205754.12",13.8255904146305,-8.58702676317234,1.48005147065361,5.29842416215794e-09,4.71018997026957e-08,"SLCO1B7",8.58702676317234
"ENSG00000135346.9",153.951522148289,8.57261707104855,1.00948953690067,6.69552345177152e-13,1.07533500931886e-11,"CGA",8.57261707104855
"ENSG00000196296.14",61.9537682869714,-8.48170333559909,0.227220480165761,5.53643464024429e-07,3.51646400011894e-06,"ATP2A1",8.48170333559909
